"","cohort_name","n"
"129","reinf_chest_pain_angina",19
"130","reinf_blurred_vision",6
"131","reinf_venous_thrombosembolism",6
"132","reinf_allergy",112
"133","reinf_dyspnea",11
"134","reinf_pins_and_needles_sensation",NA
"135","reinf_haemorrhagic_stroke",NA
"136","reinf_sleep_disorder",37
"137","reinf_lc_code",NA
"138","reinf_tachycardia",61
"139","reinf_any_pasc",67
"140","reinf_ischemic_stroke",14
"141","reinf_pulmonary_embolism",NA
"142","reinf_postexertional_fatigue",NA
"143","reinf_juvenile_arthritis",NA
"144","reinf_mis",NA
"145","reinf_ra",NA
"146","reinf_sle",NA
"147","reinf_t1dm",NA
"148","testneg_deep_vein_thrombosis",99
"149","testneg_headache",340
"150","testneg_altered_smell_taste",27
"151","testneg_heart_failure",887
"152","testneg_menstrual_problems",57
"153","testneg_pins_and_needles_sensation",18
"154","testneg_haemorrhagic_stroke",60
"155","testneg_sleep_disorder",717
"156","testneg_lc_code",8
"157","testneg_tachycardia",1465
"158","testneg_sle",NA
"159","testneg_t1dm",9
"160","testneg_abdominal_pain",616
"161","testneg_anxiety",527
"162","testneg_depression_wo_recurrence",1047
"163","testneg_gastrointestinal_issues",1108
"164","testneg_any_lc",5082
"165","testneg_chest_pain_angina",407
"166","testneg_ra",12
"167","testneg_joint_pain",266
"168","testneg_dizziness",122
"169","testneg_cough",86
"170","testneg_muscle_spasms_and_pain",93
"171","testneg_memory_issues",36
"172","testneg_cognitive_dysfunction_brain_fog",175
"173","testneg_myocardial_infarction",110
"174","testneg_dysautonomia",212
"175","testneg_tinnitus_hearing_problems",363
"176","testneg_venous_thrombosembolism",174
"177","testneg_allergy",1408
"178","testneg_dyspnea",135
"179","testneg_pulmonary_embolism",83
"180","testneg_intermittent_fever",186
"181","testneg_fatigue_malaise",351
"182","testneg_ibd",21
"183","testneg_pots",59
"184","testneg_me_cfs_symptoms",312
"185","testneg_me_cfs",9
"186","testneg_neuralgia",173
"187","testneg_blurred_vision",120
"188","testneg_any_pasc",1280
"189","testneg_ischemic_stroke",223
"190","testneg_ventricular_arrhythmia_cardiac_arrest",41
"191","testneg_myocarditis_pericarditis",14
"192","testneg_transient_ischemic_attack",42
"193","testneg_postexertional_fatigue",NA
"194","testneg_juvenile_arthritis",NA
"195","testneg_mis",NA
