"","cohort_name","n"
"168","testneg_pins_and_needles_sensation",NA
"169","testneg_postexertional_fatigue",NA
"170","testneg_sleep_disorder",NA
"171","testneg_tachycardia",NA
"172","testneg_tinnitus_hearing_problems",NA
"173","testneg_lc_code",NA
"174","testneg_any_lc",NA
"175","testneg_venous_thrombosembolism",NA
"176","testneg_deep_vein_thrombosis",NA
"177","testneg_pulmonary_embolism",NA
"178","testneg_haemorrhagic_stroke",NA
"179","testneg_ischemic_stroke",NA
"180","testneg_transient_ischemic_attack",NA
"181","testneg_myocardial_infarction",NA
"182","testneg_myocarditis_pericarditis",NA
"183","testneg_ventricular_arrhythmia_cardiac_arrest",NA
"184","testneg_heart_failure",NA
"185","testneg_any_pasc",NA
"186","testneg_dysautonomia",NA
"187","testneg_ibd",NA
"188","testneg_juvenile_arthritis",NA
"189","testneg_me_cfs",NA
"190","testneg_me_cfs_symptoms",NA
"191","testneg_mis",NA
"192","testneg_pots",NA
"193","testneg_ra",NA
"194","testneg_sle",NA
"195","testneg_t1dm",NA
